amc_name,year,month,code,types_of_clients,no_of_investors,listed,unlisted,plain_debt,stru_debt,eq_derivative,mutual_funds,others,total
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,DISC,Individual Clients Non Resident,3,6.65,0.0,1.01,0.0,0.0,0.0,0.53,8.19
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,DISC,Corporate Clients Resident,1,0.4,0.0,0.61,0.0,0.0,0.0,0.05,1.06
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,DISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,DISC,FII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,DISC,GROSS DATA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,NONDISC,Individual Clients Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,NONDISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,DISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,DISC,FII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,DISC,GROSS DATA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,NONDISC,Individual Clients Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
